what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1701722483027
java.version,sysinfo,,,"1.6.0_23",1701722483027
java.vm.info,sysinfo,,,"mixed mode",1701722483027
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1701722483027
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1701722483027
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1701722483027
java.vm.specification.version,sysinfo,,,"1.0",1701722483027
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1701722483027
java.vm.version,sysinfo,,,"19.0-b09",1701722483027
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1701722483280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1701722483312
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1701722484388
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1701722484419
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1701722484687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722485788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722487158
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1701722487173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1701722487173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722489301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722490673
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1701722490673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1701722490673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722491533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722497600
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1701722500562
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1701722500733
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1701722500733
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1701722500741
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1701722500741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722501090
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1701722530651
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1701722530805
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1701722531770
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1701722532694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722538170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722550059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1701722556138
